ID,Word 1,Word 2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10
1,brazo,músculo,nouns,1,1,5,0,0,0,2,1,2,2
2,democracia,monarquía,nouns,0,0,3,0,0,0,2,1,3,4
3,tejado,techo,nouns,5,5,6,4,5,3,4,4,6,6
4,amigo,profesor,nouns,0,0,1,0,0,0,2,0,1,0
5,mano,pie,nouns,1,0,3,0,0,0,2,1,3,1
6,biografía,ficción,nouns,1,1,2,0,0,0,0,0,2,1
7,disco,ordenador,nouns,0,1,4,0,0,0,2,2,1,3
8,Esgrima,gimnasia,nouns,1,2,6,2,3,0,3,1,4,4
9,banco,asiento,nouns,5,5,6,5,5,5,5,5,5,5
10,emperador,constitución,nouns,0,0,4,0,0,0,1,2,3,2
11,pistola,truco,nouns,0,0,2,0,0,0,0,0,0,0
12,tamaño,magnitud,nouns,5,6,5,5,6,5,5,6,5,2
13,pelota,guante,nouns,0,0,5,0,0,0,2,0,2,2
14,oveja,ganado,nouns,1,0,5,3,3,0,4,4,5,2
15,lagartija,cocodrilo,nouns,1,1,5,2,4,0,4,3,4,2
16,amigo,huésped,nouns,0,2,6,0,0,0,1,2,4,1
17,cumpleaños,cita,nouns,0,0,5,2,1,0,1,2,3,0
18,coche,taxi,nouns,3,2,5,4,3,4,4,4,5,4
19,hueso,dientes,nouns,1,0,5,0,0,0,3,2,4,2
20,paraguas,calentador,nouns,0,0,0,0,0,0,0,0,1,1
21,frustración,enfado,nouns,1,5,5,5,3,5,5,5,5,6
22,activo,valores,nouns,0,1,3,3,5,0,4,0,6,4
23,acción,curso,nouns,3,3,3,2,0,0,0,0,0,2
24,celebracion,ceremonia,nouns,3,4,6,4,5,0,5,4,5,5
25,ensayo,tarea,nouns,2,3,5,3,3,4,5,1,5,2
26,circunnavegación,equipaje,nouns,0,0,3,0,2,0,1,1,3,1
27,populacho,multitud,nouns,3,3,6,3,0,0,5,4,5,3
28,hombro,cabeza,nouns,0,0,3,0,0,0,2,3,4,3
29,arquero,pionero,nouns,0,1,4,0,0,0,1,0,0,2
30,mito,sátira,nouns,1,1,6,1,0,0,4,3,2,2
31,ganador,candidato,nouns,0,0,4,1,2,0,2,2,5,1
32,combate,beligerancia,nouns,3,1,4,3,2,0,5,5,6,5
33,puerta,portón,nouns,5,5,5,5,6,0,5,6,6,6
34,bolos,jugador de bolos,nouns,0,1,6,3,0,0,2,1,4,4
35,circunstancia,situación,nouns,5,6,6,5,6,5,5,6,6,6
36,convocatoria,reunión,nouns,2,4,5,4,6,6,4,6,5,6
37,cuidado,precaución,nouns,5,6,6,6,6,6,4,6,6,6
38,gravedad,meteorito,nouns,0,0,4,0,0,0,2,1,4,3
39,cena,pollo,nouns,0,1,4,0,0,0,3,2,4,2
40,sensor,radiador,nouns,0,1,1,0,1,0,2,3,3,1
41,palomitas de maiz,cine,nouns,0,0,6,5,0,0,3,2,4,1
42,casa,apartamento,nouns,5,3,6,5,3,0,4,5,6,4
43,centavo,esposa,nouns,0,0,3,0,0,0,0,0,0,0
44,palabra,literatura,nouns,0,1,6,1,3,0,4,2,4,3
45,Escoba,polvo,nouns,0,0,0,1,0,0,2,2,4,0
46,snowboard,esquí,nouns,1,1,6,3,4,0,4,2,5,0
47,hijo,padre,nouns,0,1,5,1,0,0,4,0,4,1
48,semilla,mostaza,nouns,1,1,3,1,2,0,2,2,5,1
49,gato,Conejo,nouns,0,0,2,0,0,0,1,1,4,1
50,biólogo,microscopio,nouns,0,0,4,0,0,0,3,2,3,1
51,placa,vaso,nouns,0,0,3,0,2,0,0,0,0,2
52,chisme,Noticias,nouns,2,2,1,2,3,0,4,2,4,1
53,dado,cubo,nouns,1,2,5,3,4,6,3,2,4,5
54,torre,campana,nouns,0,0,6,0,0,0,3,2,4,2
55,programa informático,caso,nouns,0,0,4,0,1,0,0,0,1,0
56,Dios,sacerdote,nouns,0,0,5,0,0,0,3,2,4,2
57,río,Valle,nouns,1,0,5,1,0,5,2,2,5,3
58,automóvil,coche,nouns,5,5,6,6,6,6,6,6,6,3
59,madre,esposa,nouns,0,1,4,3,0,0,3,2,5,3
60,árbol,arce,nouns,1,1,6,3,4,5,3,4,5,5
61,arroz,niño,nouns,0,0,0,0,0,0,0,0,0,0
62,chico,semental,nouns,0,0,2,0,0,0,3,0,1,0
63,puerto,envoltura,nouns,0,0,1,0,0,0,0,0,0,0
64,inteligencia,lógica,nouns,1,4,5,3,3,3,5,3,5,2
65,día,Mañana,nouns,0,2,6,6,2,5,4,4,5,2
66,arma,casco,nouns,0,0,4,0,0,0,3,2,4,1
67,monasterio,ducha,nouns,0,0,0,0,0,0,0,0,0,0
68,ganador,presencia,nouns,0,0,4,0,0,0,0,0,0,0
69,televisión,cine,nouns,0,0,6,2,3,0,4,2,5,1
70,filete,carne,nouns,1,4,6,3,3,5,5,4,5,0
71,pistón,motor,nouns,0,1,5,1,4,0,3,3,4,1
72,virus,sangre,nouns,0,0,4,0,0,0,3,1,3,1
73,hombre,centinela,nouns,0,0,4,0,0,0,1,1,3,0
74,oveja,Cordero,nouns,2,4,6,2,6,5,3,5,5,0
75,coche,autopista,nouns,0,0,5,0,0,0,2,1,4,2
76,resistencia,fuerza,nouns,3,3,6,2,2,0,4,4,4,2
77,entropía,información,nouns,0,0,3,1,0,0,0,1,0,3
78,ruido,traqueteo,nouns,1,4,5,2,5,0,5,3,4,5
79,dinero,salario,nouns,0,3,6,4,5,2,5,4,5,3
80,profesor,ayudante,nouns,0,1,5,0,0,0,0,0,3,2
81,autor,creador,nouns,5,3,6,5,6,6,6,5,5,6
82,papel pintado,fondo,nouns,0,1,4,2,0,0,2,3,3,1
83,cerveza,champán,nouns,0,0,3,0,0,0,3,2,4,1
