vector_size,n_archivos,spearman_avg,spearman_ann,oov_rate,fase
25,5,0.15167728746020256,0.11529479283123753,0.0,corpus
25,20,0.1797915526957048,0.13418384678040132,0.0,corpus
25,57,0.19298905172013445,0.14462076589844014,0.0,corpus
25,57,0.19298905172013445,0.14462076589844014,0.0,dimensionalidad
50,5,0.15520114562165424,0.1181349838896835,0.0,corpus
50,20,0.1929430766995788,0.14343016502463696,0.0,corpus
50,57,0.2101974384873729,0.15727402318073372,0.0,corpus
50,57,0.2101974384873729,0.15727402318073372,0.0,dimensionalidad
100,5,0.16404186492591422,0.12436842707611342,0.0,corpus
100,20,0.2060948621624344,0.15406868136551985,0.0,corpus
100,57,0.23115153829059243,0.17379062975889387,0.0,corpus
100,57,0.23115153829059243,0.17379062975889387,0.0,dimensionalidad
