vector_size,n_archivos,spearman_avg,spearman_ann,oov_rate,fase
25,5,0.2880382793194428,0.21672884483567567,0.13347457627118645,corpus
25,20,0.3212842835485895,0.23904408428741103,0.07944915254237288,corpus
25,57,0.338167398153614,0.24911524382157318,0.06408898305084745,corpus
25,57,0.338167398153614,0.24911524382157318,0.06408898305084745,dimensionalidad
50,5,0.3103028981068473,0.2322197022751641,0.13347457627118645,corpus
50,20,0.3380988289980468,0.2522362784676843,0.07944915254237288,corpus
50,57,0.3678231194308446,0.2729901366221327,0.06408898305084745,corpus
50,57,0.3678231194308446,0.2729901366221327,0.06408898305084745,dimensionalidad
100,5,0.31384871443611906,0.2375214544873176,0.13347457627118645,corpus
100,20,0.3579736677063996,0.2705647758747062,0.07944915254237288,corpus
100,57,0.3915963339276725,0.29392341741641126,0.06408898305084745,corpus
100,57,0.3915963339276725,0.29392341741641126,0.06408898305084745,dimensionalidad
