vector_size,n_archivos,spearman_avg,spearman_ann,oov_rate,fase
25,5,0.324286274861076,0.24280992583186287,0.1408898305084746,corpus
25,20,0.3426650618238711,0.25672867961679857,0.0858050847457627,corpus
25,57,0.35586329530796407,0.26435898321058143,0.0704449152542373,corpus
25,57,0.35586329530796407,0.26435898321058143,0.0704449152542373,dimensionalidad
50,5,0.3205676823193245,0.24159376026982743,0.1408898305084746,corpus
50,20,0.36178655705761076,0.2708888568176774,0.0858050847457627,corpus
50,57,0.3878954998675267,0.2891698313781177,0.0704449152542373,corpus
50,57,0.3878954998675267,0.2891698313781177,0.0704449152542373,dimensionalidad
100,5,0.310644149380525,0.23651459037160577,0.1408898305084746,corpus
100,20,0.36677836509029027,0.27699249213078636,0.0858050847457627,corpus
100,57,0.40262679905563015,0.3039036906555237,0.0704449152542373,corpus
100,57,0.40262679905563015,0.3039036906555237,0.0704449152542373,dimensionalidad
