palabra,count,longitud
y,2650238,1
a,1839085,1
o,338627,1
e,108010,1
de,7767309,2
la,4058826,2
en,3392460,2
el,3066793,2
se,1163575,2
un,979554,2
su,793606,2
es,732808,2
al,565696,2
no,351583,2
lo,248837,2
le,146456,2
ha,138249,2
of,107142,2
ya,89927,2
si,69729,2
él,50559,2
km,43270,2
in,41474,2
ii,35272,2
da,26654,2
to,24818,2
me,21898,2
ni,21464,2
on,16896,2
sí,16463,2
ex,16374,2
mi,16148,2
va,15625,2
xx,13083,2
et,12634,2
iv,12398,2
cm,12327,2
tv,11590,2
ed,11242,2
te,10492,2
cd,10410,2
mm,10354,2
do,10176,2
ve,10164,2
at,9301,2
dr,9251,2
fe,8864,2
yo,8858,2
di,8829,2
it,8638,2
du,8442,2
is,8343,2
re,8284,2
tu,8255,2
my,8192,2
an,8066,2
pp,7915,2
ir,7588,2
as,7570,2
by,7458,2
vi,7182,2
ee,7127,2
co,6871,2
uu,6766,2
st,6637,2
fc,6225,2
kg,5887,2
xv,5643,2
ch,5019,2
he,4755,2
us,4716,2
cf,4519,2
be,4509,2
xi,4492,2
up,4290,2
am,4215,2
il,3998,2
cv,3984,2
or,3882,2
go,3868,2
ep,3836,2
sr,3831,2
ix,3706,2
ma,3397,2
mr,3287,2
lp,3269,2
we,3231,2
ti,3205,2
fm,3159,2
jr,3158,2
cc,3144,2
oc,3026,2
dc,3005,2
uk,3003,2
ne,2990,2
ac,2843,2
os,2827,2
na,2822,2
th,2804,2
so,2769,2
ad,2734,2
vs,2695,2
pc,2643,2
dj,2633,2
tú,2610,2
ss,2536,2
sh,2526,2
sa,2463,2
av,2441,2
oh,2323,2
op,2202,2
ca,2198,2
er,2164,2
sp,2005,2
ra,1972,2
mí,1903,2
li,1871,2
id,1753,2
jo,1725,2
ab,1717,2
fr,1712,2
au,1691,2
bs,1675,2
gr,1653,2
if,1588,2
fa,1574,2
pa,1552,2
ar,1503,2
mg,1492,2
ej,1483,2
mc,1480,2
ka,1455,2
ph,1452,2
ms,1444,2
ko,1441,2
hd,1410,2
aa,1376,2
rn,1375,2
br,1366,2
ta,1358,2
ll,1345,2
mp,1288,2
pi,1283,2
em,1268,2
ag,1264,2
ce,1261,2
po,1253,2
ue,1243,2
sm,1237,2
ge,1236,2
mb,1184,2
im,1183,2
dm,1160,2
sg,1158,2
té,1146,2
hp,1136,2
ap,1124,2
cl,1119,2
pm,1119,2
ji,1113,2
ki,1099,2
ga,1077,2
bj,1063,2
tr,1061,2
fl,1053,2
ds,1035,2
ai,1027,2
mk,1025,2
ba,1023,2
rd,1022,2
ua,1016,2
ur,1015,2
bo,1015,2
ft,1009,2
ip,1004,2
ou,1003,2
ng,1002,2
pr,995,2
sé,994,2
fu,983,2
ps,963,2
kw,942,2
mo,928,2
ah,893,2
ho,889,2
tc,880,2
sd,876,2
mu,862,2
bu,849,2
zu,840,2
wa,824,2
gb,823,2
ay,809,2
db,808,2
ky,793,2
gt,793,2
yu,787,2
gp,778,2
kb,776,2
fi,772,2
nd,759,2
hm,753,2
nm,745,2
oz,742,2
ny,740,2
sc,737,2
ja,735,2
hi,731,2
ea,718,2
rs,714,2
ia,713,2
vv,705,2
ao,697,2
je,696,2
dé,692,2
ud,691,2
wu,685,2
bi,685,2
rk,684,2
ml,683,2
pl,672,2
cr,671,2
xp,669,2
lu,665,2
ae,664,2
ro,661,2
pe,659,2
mw,645,2
ru,642,2
ec,636,2
ry,624,2
gu,623,2
df,609,2
kn,604,2
pg,603,2
pt,591,2
iu,573,2
um,568,2
eu,559,2
hr,552,2
ns,549,2
ci,547,2
np,544,2
gc,535,2
bc,533,2
nu,533,2
tz,527,2
rp,518,2
cb,516,2
ju,512,2
nt,508,2
sk,503,2
md,501,2
cp,496,2
gi,490,2
kv,488,2
ku,483,2
rh,483,2
és,483,2
ri,481,2
xs,479,2
ts,479,2
qu,478,2
ze,473,2
sl,465,2
hz,462,2
pj,462,2
ye,458,2
mt,456,2
ke,452,2
hs,447,2
hu,444,2
ff,439,2
ek,439,2
sn,433,2
nh,430,2
ak,429,2
lb,424,2
cs,417,2
om,417,2
gf,406,2
rc,403,2
sw,402,2
vh,399,2
ut,397,2
dt,394,2
aw,390,2
vo,387,2
dl,382,2
dx,381,2
lt,381,2
gm,377,2
wi,374,2
bf,374,2
ls,374,2
og,373,2
cu,371,2
yi,370,2
fk,360,2
sv,356,2
bm,352,2
af,351,2
rm,351,2
bb,348,2
ok,345,2
sf,342,2
bd,342,2
vu,342,2
aj,341,2
az,340,2
rf,338,2
ln,331,2
wo,330,2
ld,330,2
uc,327,2
xl,325,2
tm,325,2
rg,324,2
io,323,2
tp,320,2
tf,316,2
gy,316,2
ob,316,2
ib,310,2
mx,306,2
hb,301,2
pu,300,2
dd,298,2
nj,297,2
nr,297,2
cn,291,2
bl,288,2
za,288,2
nc,286,2
tx,284,2
jj,284,2
ik,283,2
td,281,2
lc,280,2
tn,279,2
mn,279,2
nf,278,2
zx,277,2
uv,276,2
tb,274,2
tl,271,2
ic,268,2
dg,268,2
lx,266,2
tí,261,2
rb,261,2
tt,260,2
lv,259,2
gl,258,2
rr,257,2
ev,255,2
eh,253,2
ty,250,2
rt,250,2
fx,249,2
ie,248,2
fé,248,2
éd,246,2
hl,245,2
kr,244,2
ei,243,2
lm,242,2
ot,241,2
bh,240,2
uh,236,2
ol,236,2
pf,232,2
bt,231,2
gj,231,2
íd,229,2
nk,229,2
dh,229,2
pb,223,2
jg,220,2
sj,217,2
lr,216,2
gs,215,2
bv,212,2
ct,212,2
hy,209,2
cg,209,2
oo,208,2
ax,207,2
fw,205,2
jp,203,2
ks,203,2
nv,201,2
qi,200,2
zi,199,2
zh,194,2
ov,194,2
nw,194,2
hc,192,2
cw,190,2
eb,190,2
bp,187,2
dn,185,2
pv,184,2
ui,181,2
fs,181,2
ul,180,2
fn,179,2
kk,179,2
tg,177,2
rx,176,2
rj,175,2
sá,174,2
cx,172,2
rv,172,2
hh,170,2
vp,170,2
mf,166,2
ez,164,2
jc,164,2
mv,161,2
ig,160,2
xu,159,2
kl,158,2
sb,158,2
nb,156,2
kh,156,2
jm,154,2
kt,153,2
rw,153,2
gn,152,2
kc,152,2
cj,149,2
wb,148,2
kj,147,2
fp,147,2
jd,147,2
oi,145,2
ub,143,2
vr,143,2
ef,142,2
pd,138,2
dk,138,2
mj,137,2
lh,137,2
ht,136,2
ñu,135,2
nn,134,2
fo,134,2
oa,134,2
ck,133,2
dá,131,2
hk,131,2
nl,130,2
hg,130,2
lf,129,2
vc,128,2
bx,128,2
cy,128,2
wr,128,2
ys,127,2
vw,127,2
tk,127,2
eg,123,2
gx,122,2
gh,121,2
xk,121,2
tj,120,2
dp,120,2
qt,117,2
pn,116,2
eo,116,2
lg,116,2
py,115,2
xy,114,2
wd,114,2
rl,114,2
jn,114,2
pk,114,2
qa,113,2
lz,113,2
vd,113,2
px,113,2
vt,113,2
hf,112,2
dv,112,2
zz,111,2
hn,111,2
nx,110,2
mh,110,2
ód,110,2
ox,108,2
xn,107,2
bk,107,2
fb,107,2
js,106,2
ws,106,2
bn,105,2
sx,105,2
gw,105,2
gg,104,2
vn,104,2
wh,103,2
wc,102,2
zn,102,2
jt,101,2
cz,100,2
wm,100,2
xa,99,2
xt,99,2
xf,99,2
rz,99,2
vm,98,2
bg,97,2
iz,96,2
vb,94,2
sy,94,2
sq,94,2
xj,94,2
zo,93,2
fg,93,2
jl,92,2
xm,92,2
qb,92,2
hx,92,2
uf,91,2
pw,90,2
od,90,2
oe,90,2
yr,88,2
hj,88,2
vg,87,2
ww,86,2
ío,86,2
xe,86,2
há,86,2
fv,85,2
ij,84,2
lj,84,2
jb,84,2
vj,84,2
qf,84,2
fj,83,2
wy,83,2
xo,82,2
ní,82,2
yf,82,2
uz,82,2
év,82,2
hq,81,2
ák,81,2
nz,80,2
oy,79,2
mz,78,2
xc,77,2
iq,77,2
zf,77,2
kd,76,2
jk,73,2
vé,72,2
zé,72,2
aq,72,2
xd,71,2
fh,71,2
ey,70,2
eq,69,2
bz,69,2
gd,68,2
dw,68,2
