arquitectura,stopwords,n_archivos,spearman
CBOW,sin_sw,5,0.22739430987702108
CBOW,sin_sw,10,0.2608714611217644
CBOW,sin_sw,20,0.30373417273175835
CBOW,sin_sw,57,0.3509231001706653
CBOW,con_sw,5,0.22469836591896625
CBOW,con_sw,10,0.2529661248541568
CBOW,con_sw,20,0.2853133243212886
CBOW,con_sw,57,0.33247137006010263
Skip-gram,sin_sw,5,0.265561585810323
Skip-gram,sin_sw,10,0.3053149181196794
Skip-gram,sin_sw,20,0.33976689341135735
Skip-gram,sin_sw,57,0.3931372244697928
Skip-gram,con_sw,5,0.26226433546063305
Skip-gram,con_sw,10,0.30323997947120185
Skip-gram,con_sw,20,0.327989419411998
Skip-gram,con_sw,57,0.3781059047491897
